TableName,ColumnName,DataType,ColumnDescription
fact_immunization_vac,dose_number,Int64,Số mũi trong phác đồ
fact_immunization_vac,dosage,String,Liều dùng (kèm đơn vị)
fact_immunization_vac,unit_measure,String,Đơn vị tính
fact_immunization_vac,injection_route,String,Đường dùng/đường tiêm
fact_immunization_vac,position,String,Vị trí tiêm (nếu là tiêm)
fact_immunization_vac,lot_date,Date,Hạn dùng/lô date của vaccine
fact_immunization_vac,lot_number,String,Số lô vaccine
fact_immunization_vac,completed_ticket_date,Date,Ngày hoàn tất phiếu tiêm
fact_immunization_vac,ticket_status,String,Mã trạng thái phiếu tiêm
fact_immunization_vac,ticket_note,String,Ghi chú phiếu tiêm
fact_immunization_vac,conclusion,String,Kết luận trước tiêm
fact_immunization_vac,injection_timestamp,Datetime,Thời điểm thực hiện tiêm/uống vaccine
fact_immunization_vac,completed_tracking_timestamp,Datetime,Thời điểm hoàn tất theo dõi sau tiêm
fact_immunization_vac,is_leave_early,UInt8,Flag rời đi sớm khi chưa theo dõi đủ
fact_immunization_vac,monitor_detail,String,Chi tiết theo dõi sau tiêm (triệu chứng/diễn biến)
fact_immunization_vac,health_monitor_note,String,Ghi chú theo dõi sức khỏe
fact_immunization_vac,shop_code,String,Mã cơ sở/điểm tiêm (shop)
fact_immunization_vac,shop_name,String,Tên cơ sở/điểm tiêm
fact_immunization_vac,is_returned,UInt8,Flag đã hoàn trả/hoàn đơn liên quan mũi tiêm
fact_immunization_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_regimen_vac,regimen_id,String,Khóa định danh phác đồ (nhóm phác đồ)
dim_regimen_vac,vaccine_id,String,ID vaccine
dim_regimen_vac,age_unit,String,Tên đơn vị tuổi
dim_regimen_vac,from_age_number,Int64,Tuổi bắt đầu (dạng số)
dim_regimen_vac,to_age_number,Int64,Tuổi kết thúc (dạng số)
dim_regimen_vac,schedule_type,String,Mô tả đối tượng theo tuổi
dim_regimen_vac,required_injections,Int64,Số mũi bắt buộc theo phác đồ
dim_regimen_vac,max_injections,Int64,Số mũi tối đa cho phép theo phác đồ
dim_regimen_vac,is_pregnant_regimen,UInt8,Flag đánh dấu phác đồ cho đối tượng mang thai
dim_regimen_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_shop_vac,shop_code,String,Mã shop/cửa hàng (định danh nội bộ)
dim_shop_vac,shop_type,String,Nhóm/loại shop
dim_shop_vac,shop_name,String,Tên đầy đủ của shop
dim_shop_vac,shop_address,String,Địa chỉ đầy đủ
dim_shop_vac,shop_grand_opening_date,Date,Ngày khai trương chính thức
dim_shop_vac,shop_opening_date,Date,Ngày bắt đầu hoạt động/mở bán
dim_shop_vac,shop_closing_date,Date,Ngày đóng cửa/ngừng hoạt động
dim_shop_vac,shop_province_name,String,Tên tỉnh/thành
dim_shop_vac,shop_province_code,String,Mã tỉnh/thành
dim_shop_vac,shop_area_name,String,Tên khu vực
dim_shop_vac,shop_region_name,String,Tên vùng/miền
dim_shop_vac,shop_ward_name,String,Tên phường/xã
dim_shop_vac,shop_ward_code,String,Mã phường/xã
dim_shop_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_product_vac,item_code,String,Mã sku
dim_product_vac,product_name,String,Tên sản phẩm
dim_product_vac,confirm_status,String,Trạng thái xác nhận
dim_product_vac,is_active,UInt8,Trạng thái hoạt động
dim_product_vac,universal_product_code,String,Mã vạch UPC (Universal Product Code)
dim_product_vac,product_industry_code,String,Mã ngành sản phẩm
dim_product_vac,product_industry_name,String,Tên ngành sản phẩm
dim_product_vac,product_group_code,String,Mã nhóm sản phẩm
dim_product_vac,product_group_name,String,Tên nhóm sản phẩm
dim_product_vac,is_hot_product,UInt8,Kiểm tra là sản phẩm hot
dim_product_vac,vat_output,Decimal64(2),Giá trị VAT đầu ra
dim_product_vac,vat_output_name,String,Tên VAT đầu ra
dim_product_vac,vat_output_rate,Decimal64(2),Tỷ lệ VAT đầu ra
dim_product_vac,vat_input,Decimal64(2),Giá trị VAT đầu vào
dim_product_vac,vat_input_name,String,Tên giá trị VAT đầu vào
dim_product_vac,vat_input_rate,Decimal64(2),Tỷ lệ VAT đầu vào
dim_product_vac,supplier_code,String,Mã nhà cung cấp
dim_product_vac,supplier_name,String,Tên nhà cung cấp
dim_product_vac,brand_name,String,Tên thương hiệu
dim_product_vac,unit_code_level1,String,Mã đơn vị mức 1
dim_product_vac,unit_name_level1,String,Tên đơn vị mức 1
dim_product_vac,ratio_level1,Decimal64(2),Tỷ lệ quy đổi mức 1
dim_product_vac,unit_code_level2,String,Mã đơn vị mức 2
dim_product_vac,unit_name_level2,String,Tên đơn vị mức 2
dim_product_vac,ratio_level2,Decimal64(2),Tỷ lệ quy đổi mức 2
dim_product_vac,unit_code_level3,String,Mã đơn vị mức 3
dim_product_vac,unit_name_level3,String,Tên đơn vị mức 3
dim_product_vac,ratio_level3,Decimal64(2),Tỷ lệ quy đổi mức 3
dim_product_vac,is_combo,UInt8,Đánh dấu sản phẩm combo
dim_product_vac,is_dose,UInt8,Đánh dấu sản phẩm thuốc kê đơn
dim_product_vac,reasonname_shop,String,Thuộc tính sản phẩm
dim_product_vac,is_chronic_disease,UInt8,Đánh dấu bệnh mãn tính
dim_product_vac,vaccine_id,String,ID vaccine
dim_product_vac,vaccine_name,String,Tên vaccine
dim_product_vac,disease_group_id,String,Khóa định danh nhóm bệnh
dim_product_vac,disease_group_name,String,Tên nhóm bệnh vaccine phòng/ngừa
dim_product_vac,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_province,province_code,String,Mã tỉnh/thành phố
dim_province,province_name,String,Tên tỉnh/thành phố
dim_province,province_english_name,String,Tên tỉnh/thành phố tiếng Anh
dim_province,province_level,String,Cấp bậc tỉnh/thành phố
dim_province,_record_date,Date,Thời điểm ETL/load dữ liệu
dim_ward,ward_code,String,Mã phường/xã
dim_ward,ward_name,String,Tên phường/xã
dim_ward,ward_english_name,String,Tên phường/xã tiếng Anh
dim_ward,ward_level,String,Cấp bậc phường/xã
dim_ward,province_code,String,Mã tỉnh/thành phố
dim_ward,province_name,String,Tên tỉnh/thành phố
dim_ward,_record_date,Date,Thời điểm ETL/load dữ liệu
